id,created_at,text,location
1,2026-02-01,"So excited about new AI tools in education! #AI #EdTech","San Francisco, USA"
2,2026-02-01,"Fuel prices are insane again... this is getting ridiculous. #FuelPrices","London, UK"
3,2026-02-01,"What a cricket match! That final over was unbelievable. #Cricket #MatchDay","Mumbai, India"
4,2026-02-02,"AI jobs look promising, but the interview process is brutal. #AIJobs #Careers","New York, USA"
5,2026-02-02,"I love the new features in the latest phone update. Great work!","Toronto, Canada"
6,2026-02-02,"Can't believe petrol went up overnight. Worst news. #FuelPrices","Sydney, Australia"
7,2026-02-03,"That wicket was pure magic. Proud of the team! #Cricket","Delhi, India"
8,2026-02-03,"Remote work is the best thing that happened to my productivity. #WorkFromHome","Berlin, Germany"
9,2026-02-03,"This movie was boring and way too long.","Tokyo, Japan"
10,2026-02-04,"AI jobs are everywhere, but salaries feel inconsistent. #AIJobs","San Francisco, USA"
11,2026-02-04,"Public transport delays again. Ugh.","London, UK"
12,2026-02-04,"Great match, great crowd, great vibes! #Cricket #MatchDay","Melbourne, Australia"
13,2026-02-05,"Fuel prices keep rising and nobody explains why. #FuelPrices","New York, USA"
14,2026-02-05,"Learning NLP is fun! Tokenization and lemmatization finally clicked. #NLP #AI","Boston, USA"
15,2026-02-05,"The service at this cafe was amazing, super friendly staff.","Paris, France"
16,2026-02-06,"My internet is down for hours. Terrible experience.","Madrid, Spain"
17,2026-02-06,"AI jobs for freshers are increasing, hopeful times. #AIJobs","Bengaluru, India"
18,2026-02-06,"Cricket match analysis: that strategy was perfect. #Cricket","Johannesburg, South Africa"
19,2026-02-07,"Fuel prices hit another record high. This hurts. #FuelPrices","Dubai, UAE"
20,2026-02-07,"I’m genuinely happy with my new laptop performance!","Seattle, USA"
21,2026-02-07,"This app keeps crashing after the update. Bad quality.","Toronto, Canada"
22,2026-02-08,"AI is transforming healthcare, and that’s wonderful. #AI #HealthTech","Boston, USA"
23,2026-02-08,"AI jobs need better transparency. Still optimistic. #AIJobs #Hiring","San Francisco, USA"
24,2026-02-08,"Cricket match was intense, but the umpiring felt unfair. #Cricket #MatchDay","London, UK"
25,2026-02-09,"Fuel prices + grocery prices = stress. #FuelPrices","Sydney, Australia"
26,2026-02-09,"The new stadium looks fantastic. Great experience. #Cricket","Mumbai, India"
27,2026-02-09,"I hate spam calls. Stop calling me.","Mexico City, Mexico"
28,2026-02-10,"AI jobs are exciting, I can’t wait to apply. #AIJobs","Bengaluru, India"
29,2026-02-10,"Petrol prices are killing my budget. #FuelPrices","London, UK"
30,2026-02-10,"What a win! Best cricket match this season. #Cricket","Melbourne, Australia"
31,2026-02-11,"Trying out a new ML course, it’s challenging but rewarding. #AI #ML","Boston, USA"
32,2026-02-11,"Fuel prices should be reduced, this is unfair. #FuelPrices","Paris, France"
33,2026-02-11,"Cricket team played brilliantly today! #Cricket #Win","Delhi, India"
34,2026-02-12,"AI jobs: got an offer today! Feeling grateful. #AIJobs","Seattle, USA"
35,2026-02-12,"This traffic is horrible and makes me angry.","New York, USA"
36,2026-02-12,"Fuel prices are high, but I’m managing somehow. #FuelPrices","Dubai, UAE"
37,2026-02-13,"Cricket match highlights are giving me goosebumps. #Cricket","Johannesburg, South Africa"
38,2026-02-13,"AI tools saved me hours of work today. Love it. #AI","San Francisco, USA"
39,2026-02-13,"The customer support was rude. Very disappointed.","Madrid, Spain"
40,2026-02-14,"Fuel prices increased again. Sad times. #FuelPrices","London, UK"
41,2026-02-14,"Cricket is the best stress buster. #Cricket","Mumbai, India"
42,2026-02-14,"AI jobs: rejection hurts, but I’ll keep trying. #AIJobs","Bengaluru, India"
43,2026-02-15,"Watched the cricket match with friends, amazing energy! #Cricket #MatchDay","Melbourne, Australia"
44,2026-02-15,"Fuel prices are unbelievable, who can afford this? #FuelPrices","New York, USA"
45,2026-02-15,"NLP sentiment analysis with VADER is surprisingly useful. #NLP #Sentiment","Boston, USA"
46,2026-02-16,"AI jobs are growing fast; great opportunities for students. #AIJobs","Seattle, USA"
47,2026-02-16,"The match was a disaster, we played so badly. #Cricket","Johannesburg, South Africa"
48,2026-02-16,"Fuel prices make commuting a nightmare. #FuelPrices","London, UK"
49,2026-02-17,"AI is cool, but please think about ethics too. #AI #Ethics","San Francisco, USA"
50,2026-02-17,"Cricket match: that catch was stunning! #Cricket #Win","Mumbai, India"
51,2026-02-17,"This is the worst service ever, never coming back.","Toronto, Canada"
52,2026-02-18,"AI jobs: learning Python and ML to switch careers. #AIJobs #ML","Bengaluru, India"
53,2026-02-18,"Fuel prices are too high, I feel frustrated. #FuelPrices","Sydney, Australia"
54,2026-02-18,"Best cricket match finale! So happy right now. #Cricket #MatchDay","Melbourne, Australia"
55,2026-02-18,"Check this out https://example.com Amazing read on AI trends! #AI","San Francisco, USA"
56,2026-02-18,"@user the fuel prices conversation is everywhere today. #FuelPrices","London, UK"
